id,query
1,I’m new to cooking and need a simple chicken dinner recipe that I can whip up in like 20 mins tops. Any easy ideas?
2,I’m looking for a decent veggie lunch recipe that’s a bit challenging but won’t take longer than an hour to make. Got any good ideas?
3,I’m looking for a super detailed pescatarian seafood dish for dinner—something that’ll take me a good hour or more to make. Got any challenging recipes?
4,Got any quick and super easy vegan snack ideas? Need something I can whip up in like 20 mins or less.
5,"I'm craving a solid meat-heavy breakfast, nothing too simple but not crazy hard either. Got like 30-60 mins maybe? Something traditional and filling would be perfect. Any ideas?"
6,I’m looking to wow my dinner guests with a fancy dessert that takes a while to make but no nuts—something challenging enough to really show off my skills. Any ideas?
7,Got any quick and easy vegan smoothies or breakfast drinks I can whip up in like 10-15 mins?
8,Got any easy fish recipes I can make for lunch without takin more than like 25 mins? I’m not great at cookin so simple please!
9,I'm looking for a super intricate vegetarian dinner recipe that takes like over an hour to make—something challenging to really test my skills. Got any ideas?
10,Looking for a tasty meat main dish for dinner that’s not too hard to make but takes like half an hour to an hour. Any good ideas?
11,"Got any quick snack ideas i can throw together real fast for lunch? Need to avoid nuts cuz alergic, and I’m not super skilled in the kitchen. Less than half hour would be perfect!"
12,Got any good vegan snack desserts that aren’t too simple but won’t take me all day? Like 30 to 60 minutes max? I wanna try something new and kinda challenging.
13,Can u suggest any fancy pescatarian desserts I can make for dinner that are on the more challenging side and take like an hour or more? Want something impressive!
14,I'm looking for a breakfast recipe with eggs and meat that’s not too hard but takes about 30-45 mins to make. Got anything good?
15,"I’m new to cooking and need a simple meat lunch recipe I can whip up super fast, like less than half an hour. Got any ideas?"
16,Got any quick and easy veg drinks I can whip up for dinner tonight? Something that doesn’t take forever please!
17,I'm looking for a super challenging vegan dinner recipe that takes at least an hour to make—something really impressive and complex for a main dish. Got any ideas?
18,Got any decent meat snacks recipes that aren't super easy but also not crazy hard? I’ve got like 30 to 60 mins to make something tasty.
19,Got any quick and easy sweet snack ideas? I want something yummy but don’t wanna spend forever in the kitchen!
20,Any easy slow cooker fish recipes for dinner? Prefer something main course and under an hour to cook.
